Acaryochloris_marina_WP_012161777.1	Acaryochloris_marina
Aureococcus_anophagefferens_CCMP1850_CAMPEP_0168937666	Aureococcus_anophagefferens_2
Aureoumbra_lagunensis_CCMP1510_CAMPEP_0197288796	Aureoumbra_lagunensis
Auxenochlorella_protothecoides_XP_011398035.1	Auxenochlorella_protothecoides
Avena_sativa_P15904	Avena_sativa
Beta_vulgaris_subsp._vulgaris_XP_010675628.1	Beta_vulgaris_subsp._vulgaris_2
Beta_vulgaris_subsp._vulgaris_XP_010689680.1	Beta_vulgaris_subsp._vulgaris_1
Bigelowiella_natans_CCMP2755_CAMPEP_0114183688	Bigelowiella_natans_CCMP2755_2
Bigelowiella_natans_CCMP2755_CAMPEP_0114186016	Bigelowiella_natans_CCMP2755_3
Bigelowiella_natans_CCMP2755_CAMPEP_0114195208	Bigelowiella_natans_CCMP2755_1
Bolidomonas_pacifica_CCMP_1866_CAMPEP_0118644366	Bolidomonas_pacifica_2
Bolidomonas_pacifica_CCMP_1866_CAMPEP_0118655930	Bolidomonas_pacifica_1
Brachypodium_distachyon_XP_003570527.1	Brachypodium_distachyon_1
Brachypodium_distachyon_XP_010240614.1	Brachypodium_distachyon_2
Brassica_napus_CDX89877.1	Brassica_napus_1
Brassica_napus_CDX98171.1	Brassica_napus_2
Brassica_napus_CDY29840.1	Brassica_napus_3
Brassica_rapa_XP_009119523.1	Brassica_rapa_1
Brassica_rapa_XP_009119954.1	Brassica_rapa_2
Brassica_rapa_XP_009137660.1	Brassica_rapa_3
Calcidiscus_leptoporus_RCC1130_CAMPEP_0119354418	Calcidiscus_leptoporus_1
Calcidiscus_leptoporus_RCC1130_CAMPEP_0119401546	Calcidiscus_leptoporus_2
Calliarthron_tuberculosum_IDg6411t1	Calliarthron_tuberculosum
Calothrix_parietina_WP_015196951.1	Calothrix_parietina
Calothrix_sp._336	Calothrix_sp._336
Calothrix_sp._PCC_7103_WP_019489754.1	Calothrix_sp._PCC_7103
Calothrix_sp._PCC_7507_WP_015127231.1	Calothrix_sp._PCC_7507
Camelina_sativa_XP_010448134.1	Camelina_sativa_3
Camelina_sativa_XP_010482352.1	Camelina_sativa_1
Camelina_sativa_XP_010482828.1	Camelina_sativa_2
Candidatus_Synechococcus_spongiarum_15L_KKZ13671	Candidatus_Synechococcus_spongiarum
Capsella_rubella_XP_006280542.1	Capsella_rubella_2
Capsella_rubella_XP_006283860.1	Capsella_rubella_3
Capsella_rubella_XP_006307714.1	Capsella_rubella_1
Chaetoceros_cf._neogracile_RCC1993_CAMPEP_0119443370	Chaetoceros_cf._neogracile_2
Chaetoceros_cf._neogracile_RCC1993_CAMPEP_0119452214	Chaetoceros_cf._neogracile_1
Chamaesiphon_minutus_PCC_6605_WP_015162677.1	Chamaesiphon_minutus_PCC_6605
Chattonella_subsalsa_CCMP2191_CAMPEP_0117746052	Chattonella_subsalsa
Chlamydomonas_reinhardtii_CC503_cw92_mt__Q39617	Chlamydomonas_reinhardtii
Chlamydomonas_sp._CCMP681_CAMPEP_0119107438	Chlamydomonas_sp._CCMP681
Chlorarachnion_reptans_CCCM449_CAMPEP_0114522438	Chlorarachnion_reptans
Chlorella_variabilis_EFN51798.1	Chlorella_variabilis
Chlorogloeopsis_fritschii_PCC_9212_WP_026087732.1	Chlorogloeopsis_fritschii_PCC_9212
Chondrus_crispus_XP_005712307.1	Chondrus_crispus
Chorispora_bungeana_ACJ12925.1	Chorispora_bungeana
Chromulina_nebulosa_UTEXLB2642_CAMPEP_0196765140	Chromulina_nebulosa
Chroococcidiopsis_thermalis_PCC_7203_WP_015156306.1	Chroococcidiopsis_thermalis_PCC_7203
Chroomonas_mesostigmatica_cf_CCMP1168_CAMPEP_0206227032	Chroomonas_cf._mesostigmatica_1
Chroomonas_mesostigmatica_cf_CCMP1168_CAMPEP_0206240558	Chroomonas_cf._mesostigmatica_2
Prymnesium_polylepis-syn-Chrysochromulina_polylepis_UIO037_CAMPEP_0115787264	Chrysochromulina_polylepis_2
Prymnesium_polylepis-syn-Chrysochromulina_polylepis_UIO037_CAMPEP_0115793924	Chrysochromulina_polylepis_1
Chrysochromulina_rotalis_UIO044_CAMPEP_0115846658	Chrysochromulina_rotalis_1
Chrysochromulina_rotalis_UIO044_CAMPEP_0115846870	Chrysochromulina_rotalis_2
Chrysochromulina_sp._CCMP291_AJA04993.1	Chrysochromulina_sp._CCMP291_2
Chrysochromulina_sp._CCMP291_AJA04994.1	Chrysochromulina_sp._CCMP291_1
Chrysoculter_rhomboideus_RCC1486_CAMPEP_0119410304	Chrysoculter_rhomboideus_1
Chrysoculter_rhomboideus_RCC1486_CAMPEP_0119419746	Chrysoculter_rhomboideus_2
Chrysocystis_fragilis_CCMP3189_CAMPEP_0197386858	Chrysocystis_fragilis
Chrysoreinhardia_giraudii-Chrysoreinhardia_sp_CCMP3193_CAMPEP_0118894084	Chrysoreinhardia_sp._CCMP3193_2
Chrysoreinhardia_giraudii-Chrysoreinhardia_sp_CCMP3193_CAMPEP_0118895622	Chrysoreinhardia_sp._CCMP3193_1
Cicer_arietinum_XP_004487684.1	Cicer_arietinum
Citrus_clementina_XP_006451927.1	Citrus_clementina
Citrus_sinensis_XP_006464717.1	Citrus_sinensis
Coccomyxa_subellipsoidea_C-169_XP_005649459.1	Coccomyxa_subellipsoidea_C-169
Coffea_canephora_CDP05887.1	Coffea_canephora_2
Coffea_canephora_CDP14753.1	Coffea_canephora_1
Coleofasciculus_chthonoplastes_WP_006105664.1	Coleofasciculus_chthonoplastes
Corethron_hystrix_308_CAMPEP_0113301228	Corethron_hystrix_2
Corethron_hystrix_308_CAMPEP_0113302768	Corethron_hystrix_1
Crinalium_epipsammum_WP_015202674.1	Crinalium_epipsammum
Crocosphaera_watsonii_WH_8502_WP_007306694.1	Crocosphaera_watsonii
Cryptomonas_curvata_CCAP979_CAMPEP_0172173342	Cryptomonas_curvata
Cucumis_melo_XP_008448267.1	Cucumis_melo
Cucumis_sativus_Q41249	Cucumis_sativus
Cyanidioschyzon_merolae_10D_XP_005535527.1	Cyanidioschyzon_merolae_strain_10D
Cyanobacterium_aponinum_PCC_10605_WP_015218071.1	Cyanobacterium_aponinum
cyanobacterium_PCC_7702_WP_017321331.1	cyanobacterium_PCC_7702
Cyanobacterium_stanieri_PCC_7202_AFZ48816.1	Cyanobacterium_stanieri_PCC_7202
Cyanobium_gracile_PCC_6307_AFY27247.1	Cyanobium_gracile_PCC_6307
Cyanobium_sp._PCC_7001_EDY38066.1	Cyanobium_sp._PCC_7001
Cyanobium_sp._CACIAM_14_KEF43183.1	Cyanobium_sp._CACIAM_14
Cyanophora_paradoxa_CCMP329_contig6776	Cyanophora_paradoxa
Cyanothece_WP_009546812.1	Cyanothece_sp._ATCC_51142
Cyanothece_sp._PCC_7424_WP_015956903.1	Cyanothece_sp._PCC_7424
Cyclophora_tenuis_ECT3854_CAMPEP_0116564660	Cyclophora_tenuis_1
Cyclophora_tenuis_ECT3854_CAMPEP_0116567338	Cyclophora_tenuis_2
Cylindrospermopsis_raciborskii_CS-505_EFA68639.1	Cylindrospermopsis_raciborskii_CS-505
Cylindrospermum_stagnale_PCC_7417_WP_015205922.1	Cylindrospermum_stagnale_PCC_7417
Cylindrotheca_closterium_CAMPEP_0113624412	Cylindrotheca_closterium_1
Cylindrotheca_closterium_CAMPEP_0113636424	Cylindrotheca_closterium_2
Dactylococcopsis_salina_PCC_8305_WP_015229368.1	Dactylococcopsis_salina
Daucus_carota_Q9SDT1	Daucus_carota
Dictyocha_speculum_CCMP1381_CAMPEP_0185755778	Dictyocha_speculum_2
Dictyocha_speculum_CCMP1381_CAMPEP_0185766260	Dictyocha_speculum_1
Dinobryon_cylindricum-Dinobryon_sp._UTEXLB2267_CAMPEP_0170103954	Dinobryon_sp._UTEXLB2267
Dinoroseobacter_shibae_DFL12_WP_012187437	Dinoroseobacter_shibae
Dolichospermum_circinale_WP_028085389.1	Dolichospermum_circinale
Ectocarpus_siliculosus_CBN79181.1	Ectocarpus_siliculosus
Elaeis_guineensis_XP_010918444.1	Elaeis_guineensis
Emiliania_huxleyi_CCMP1516_XP_005784495.1	Emiliania_huxleyi_CCMP1516
Erythranthe_guttata_EYU26149.1	Erythranthe_guttata_1
Erythranthe_guttata_EYU26401.1	Erythranthe_guttata_2
Erythrobacter_litoralis_DSM_8509_KEO90002	Erythrobacter_litoralis
Eucalyptus_grandis_XP_010051786.1	Eucalyptus_grandis_1
Eucalyptus_grandis_XP_010060532.1	Eucalyptus_grandis_2
Eustigmatos_magnus_AJA04986.1	Eustigmatos_magnus
Eutrema_salsugineum_XP_006413074.1	Eutrema_salsugineum_2
Eutrema_salsugineum_XP_006418218.1	Eutrema_salsugineum_1
Eutreptiella_gymnastica_CAMPEP_0113741178	Eutreptiella_gymnastica
Exanthemachrysis_gayraliae_RCC1523_CAMPEP_0206001598	Exanthemachrysis_gayraliae_1
Exanthemachrysis_gayraliae_RCC1523_CAMPEP_0206010660	Exanthemachrysis_gayraliae_2
Fibrocapsa_japonica_CAMPEP_0113933990	Fibrocapsa_japonica_2
Fibrocapsa_japonica_CAMPEP_0113945080	Fibrocapsa_japonica_1
filamentous_cyanobacterium_ESFC-1_WP_018398167.1	filamentous_cyanobacterium_ESFC-1
Fischerella_muscicola_WP_016860488.1	Fischerella_muscicola
Fischerella_sp._JSC-11_EHC10076.1	Fischerella_sp._JSC-11
Florenciella_parvula_CCMP2471_CAMPEP_0119505726	Florenciella_parvula_2
Florenciella_parvula_CCMP2471_CAMPEP_0119543380	Florenciella_parvula_1
Fragaria_vesca_subsp._vesca_XP_004291662.1	Fragaria_vesca_subsp._vesca
Fragilariopsis_cylindrus_JGI_188173	Fragilariopsis_cylindrus_2
Fragilariopsis_cylindrus_JGI_267731	Fragilariopsis_cylindrus_1
Tolypothrix_sp._PCC_7601-Fremyella_diplosiphon_Fd33_ABX79350.1	Fremyella_diplosiphon_Fd33
Geitlerinema_sp._PCC_7105_WP_017658553.1	Geitlerinema_sp._PCC_7105
Geitlerinema_sp._PCC_7407_WP_015171826.1	Geitlerinema_sp._PCC_7407
Geminigera_cryophila_CCMP2564_CAMPEP_0179444846	Geminigera_cryophila_1
Geminigera_cryophila_CCMP2564_CAMPEP_0179455852	Geminigera_cryophila_2
Geminocystis_herdmanii_PCC_6308_WP_017294637.1	Geminocystis_herdmanii
Geminocystis_sp._NIES-3708_BAQ59706.1	Geminocystis_sp._NIES-3708
Geminocystis_sp._NIES-3709_BAQ63344.1	Geminocystis_sp._NIES-3709
Genlisea_aurea_EPS66694.1	Genlisea_aurea_1
Genlisea_aurea_EPS73076.1	Genlisea_aurea_2
Gephyrocapsa_oceanica_RCC1303_CAMPEP_0185305440	Gephyrocapsa_oceanica_1
Gephyrocapsa_oceanica_RCC1303_CAMPEP_0185532264	Gephyrocapsa_oceanica_2
Glenodinium_inaequale-Glenodinium_foliaceum_CCAP_1116_CAMPEP_0167842374	Glenodinium_foliaceum_1
Glenodinium_inaequale-Glenodinium_foliaceum_CCAP_1116_CAMPEP_0167871202	Glenodinium_foliaceum_2
Gloeobacter_violaceus_PCC_7421_NP_925432	Gloeobacter_violaceus_PCC_7421
Gloeocapsa_sp._PCC_73106_WP_006530787.1	Gloeocapsa_sp._PCC_73106
Gloeocapsa_sp._PCC_7428_WP_015187889.1	Gloeocapsa_sp._PCC_7428
Glycine_soja_KHN28042.1	Glycine_soja_2
Glycine_soja_KHN37163.1	Glycine_soja_1
Gossypium_arboreum_KHG29203.1	Gossypium_arboreum
Gossypium_raimondii_KJB77300.1	Gossypium_raimondii_1
Gossypium_raimondii_KJB81921.1	Gossypium_raimondii_2
Guillardia_theta_CCMP2712_XP_005836772.1	Guillardia_theta_CCMP2712_1
Guillardia_theta_CCMP2712_XP_005836929.1	Guillardia_theta_CCMP2712_2
Gymnochlora_stellata-Gymnochlora_sp._CCMP2014_CAMPEP_0167754710	Gymnochlora_sp._CCMP2014_1
Gymnochlora_stellata-Gymnochlora_sp._CCMP2014_CAMPEP_0167770292	Gymnochlora_sp._CCMP2014_2
Gymnodinium_catenatum_GC744_CAMPEP_0117461206	Gymnodinium_catenatum_3
Gymnodinium_catenatum_GC744_CAMPEP_0117575528	Gymnodinium_catenatum_1
Gymnodinium_catenatum_GC744_CAMPEP_0117608140	Gymnodinium_catenatum_2
Halothece_sp._PCC_7418_WP_015224555.1	Halothece_sp._PCC_7418
Hanusia_phi_CCMP325_CAMPEP_0169524018	Hanusia_phi
Hassallia_byssoidea_WP_039742962.1	Hassallia_byssoidea
Hemiselmis_andersenii_CCMP1180_CAMPEP_0169441310	Hemiselmis_andersenii_2
Hemiselmis_andersenii_CCMP1180_CAMPEP_0169448160	Hemiselmis_andersenii_1
Heterocapsa_rotundata_SCCAP_K-0483_CAMPEP_0168641362	Heterocapsa_rotundata_2
Heterocapsa_rotundata_SCCAP_K-0483_CAMPEP_0168703282	Heterocapsa_rotundata_1
Heterosigma_akashiwo_CCMP3107_CAMPEP_0116623340	Heterosigma_akashiwo_1
Heterosigma_akashiwo_CCMP3107_CAMPEP_0116656884	Heterosigma_akashiwo_2
Hordeum_vulgare-PORA_P13653	Hordeum_vulgare-PORA
Hordeum_vulgare-PORB_Q42850	Hordeum_vulgare-PORB
Imantonia_sp._RCC918_CAMPEP_0206156796	Imantonia_sp._RCC918_3
Imantonia_sp._RCC918_CAMPEP_0206163726	Imantonia_sp._RCC918_1
Imantonia_sp._RCC918_CAMPEP_0206179854	Imantonia_sp._RCC918_2
Isochrysis_galbana_CCMP1323_CAMPEP_0179807554	Isochrysis_galbana_2
Isochrysis_galbana_CCMP1323_CAMPEP_0179807664	Isochrysis_galbana_1
Isochrysis_sp._CCMP1244_CAMPEP_0196688104	Isochrysis_sp._CCMP1244_1
Isochrysis_sp._CCMP1244_CAMPEP_0196714200	Isochrysis_sp._CCMP1244_2
Isochrysis_sp._CCMP1324_CAMPEP_0185058376	Isochrysis_sp._CCMP1324_1
Isochrysis_sp._CCMP1324_CAMPEP_0185136414	Isochrysis_sp._CCMP1324_2
Isoptericola_variabilis_225-SDR_225_WP_013838847	Isoptericola_variabilis_225-SDR
Jatropha_curcas_XP_012084920.1	Jatropha_curcas_2
Jatropha_curcas_XP_012088312.1	Jatropha_curcas_1
Karenia_brevis_Wilson_CAMPEP_0114874700	Karenia_brevis_1
Karenia_brevis_Wilson_CAMPEP_0114927116	Karenia_brevis_2
Karlodinium_veneficum-syn-Karlodinium_micrum_CCMP2283_CAMPEP_0169076352	Karlodinium_micrum_1
Karlodinium_veneficum-syn-Karlodinium_micrum_CCMP2283_CAMPEP_0169102736	Karlodinium_micrum_2
Leptocylindrus_danicus_var._apora_B651_CAMPEP_0116064808	Leptocylindrus_danicus_var._apora_2
Leptocylindrus_danicus_var._apora_B651_CAMPEP_0116072532	Leptocylindrus_danicus_var._apora_1
Leptocylindrus_danicus_var._danicus_B650_CAMPEP_0116022856	Leptocylindrus_danicus_var._danicus_2
Leptocylindrus_danicus_var._danicus_B650_CAMPEP_0116038150	Leptocylindrus_danicus_var._danicus_1
Leptolyngbya_boryana_PCC_6306_WP_017290625	Leptolyngbya_boryana
Leptolyngbya_sp._Heron_Island_J_WP_023074674.1	Leptolyngbya_sp._Heron_Island_J
Leptolyngbya_sp._PCC_7375_WP_006518423.1	Leptolyngbya_sp._PCC_7375
Limnoraphis_robusta_CS-951_KKD38224.1	Limnoraphis_robusta_CS-951
Lingulodinium_polyedrum-Lingulodinium_polyedra_CCMP_1738_CAMPEP_0117998516	Lingulodinium_polyedra_1
Lingulodinium_polyedrum-Lingulodinium_polyedra_CCMP_1738_CAMPEP_0118280466	Lingulodinium_polyedra_3
Lingulodinium_polyedrum-Lingulodinium_polyedra_CCMP_1738_CAMPEP_0118389886	Lingulodinium_polyedra_2
Loktanella_vestfoldensis_DSM_16212_WP_026352701	Loktanella_vestfoldensis
Lotharella_globosa_CCCM811_CAMPEP_0167772432	Lotharella_globosa_1
Lotharella_globosa_CCCM811_CAMPEP_0167812676	Lotharella_globosa_2
Lotharella_globosa_CCCM811_CAMPEP_0167816630	Lotharella_globosa_3
Lyngbya_aestuarii_WP_023068279.1	Lyngbya_aestuarii
Lyngbya_confervoides_BDU141951_KIF41241.1	Lyngbya_confervoides_BDU141951
Lyngbya_sp._PCC_8106_EAW38261.1	Lyngbya_sp._PCC_8106
Mallomonas_sp._CCMP3275_CAMPEP_0182418372	Mallomonas_sp._CCMP3275_3
Mallomonas_sp._CCMP3275_CAMPEP_0182423230	Mallomonas_sp._CCMP3275_1
Mallomonas_sp._CCMP3275_CAMPEP_0182436004	Mallomonas_sp._CCMP3275_2
Malus_domestica_XP_008366738.1	Malus_domestica
Marchantia_paleacea_O80333	Marchantia_paleacea
Marchantia_polymorpha_BAP05437.1	Marchantia_polymorpha
Mastigocladopsis_repens_PCC_10914_WP_017315025.1	Mastigocladopsis_repens_PCC_10914
Mastigocladus_laminosus_UU774_KIY13402.1	Mastigocladus_laminosus_UU774
Medicago_truncatula_KEH38771.1	Medicago_truncatula
Metagenomic-POR_JCVI_readid_1095522100565	Metagenomic-POR
Microchaete_sp._PCC_7126_WP_017651966.1	Microchaete_sp._PCC_7126
Microcoleus_sp._PCC_7113_WP_015182835.1	Microcoleus_sp._PCC_7113
Microcoleus_vaginatus_FGP-2_WP_006633947.1	Microcoleus_vaginatus_FGP-2
Microcystis_aeruginosa_WP_002746477.1	Microcystis_aeruginosa
Microcystis_sp._T1-4_WP_008202560.1	Microcystis_sp._T1-4
Microlunatus_phosphovorus-SDR_NM1_WP_013863329	Microlunatus_phosphovorus-SDR
Micromonas_pusilla_CCMP1545_EEH57725.1	Micromonas_pusilla_CCMP1545
Micromonas_pusilla_RCC2306_CAMPEP_0119224620	Micromonas_pusilla_RCC2306
Micromonas_sp._CCMP2099_CAMPEP_0117647332	Micromonas_sp._CCMP2099
Monoraphidium_neglectum_KIZ07832.1	Monoraphidium_neglectum
Moorea_producens_3L_WP_008188115.1	Moorea_producens_3L
Morus_notabilis_XP_010099010.1	Morus_notabilis_2
Morus_notabilis_XP_010099576.1	Morus_notabilis_1
Musa_acuminata_AAW62234.1	Musa_acuminata__
Musa_acuminata_subsp._malaccensis_XP_009382124.1	Musa_acuminata_subsp._malaccensis_1
Musa_acuminata_subsp._malaccensis_XP_009392250.1	Musa_acuminata_subsp._malaccensis_2
Mycobacterium_rhodesiae_NBB3-SDR_NBB3_WP_014213013	Mycobacterium_rhodesiae-SDR
Myxosarcina_sp._GI1_WP_036479850.1	Myxosarcina_sp._GI1
Nannochloropsis_gaditana_CCMP526_XP_005853690.1	Nannochloropsis_gaditana_CCMP526
Nelumbo_nucifera_XP_010242003.1	Nelumbo_nucifera_2
Nelumbo_nucifera_XP_010245313.1	Nelumbo_nucifera_1
Neosynechococcus_sphagnicola_WP_036535919.1	Neosynechococcus_sphagnicola
Nicotiana_sylvestris_XP_009793616.1	Nicotiana_sylvestris_2
Nicotiana_sylvestris_XP_009797445.1	Nicotiana_sylvestris_1
Nicotiana_tabacum-PORA_BAB93003	Nicotiana_tabacum-PORA
Nicotiana_tabacum-PORB_BAB93004	Nicotiana_tabacum-PORB
Nicotiana_tomentosiformis_XP_009601330.1	Nicotiana_tomentosiformis_2
Nicotiana_tomentosiformis_XP_009626598.1	Nicotiana_tomentosiformis_1
Nitzschia_closterium-Nitzschia_sp._CAMPEP_0113468180	Nitzschia_sp._RCC80_1
Nitzschia_closterium-Nitzschia_sp._CAMPEP_0113510400	Nitzschia_sp._RCC80_2
Nodosilinea_nodulosa_PCC_7104_WP_017296972.1	Nodosilinea_nodulosa
Nodularia_spumigena_WP_006197873.1	Nodularia_spumigena
Nostoc_punctiforme_PCC_73102_WP_012409292	Nostoc_punctiforme
Nostoc_sp._PCC_7107_WP_015111994.1	Nostoc_sp._PCC_7107
Nostoc_sp._PCC_7120_WP_010995911	Nostoc_sp._PCC_7120
Ochromonas_sp._CCMP1393_CAMPEP_0174957604	Ochromonas_sp._BG-1
Ochromonas_sp._CCMP1393_CAMPEP_0175016496	Ochromonas_sp._CCMP1393_1
Ochromonas_sp._CCMP1899_CAMPEP_0119040424	Ochromonas_sp._CCMP1393_2
Ochromonas_sp._BG-1_CAMPEP_0173135610	Ochromonas_sp._CCMP1899
Odontella_aurita_CAMPEP_0113532480	Odontella_aurita_1
Odontella_aurita_CAMPEP_0113548254	Odontella_aurita_2
Oryza_brachyantha_XP_006653032.1	Oryza_brachyantha_2
Oryza_brachyantha_XP_006661905.1	Oryza_brachyantha_1
Oryza_sativa_Indica_Group_EAY96061.1	Oryza_sativa_Indica_Group
Oryza_sativa_Japonica_Group-PORA_Q7XKF3.1	Oryza_sativa_Japonica_Group-PORA
Oryza_sativa_Japonica_Group-PORB_AAL58280	Oryza_sativa_Japonica_Group-PORB
Oscillatoria_acuminata_WP_044197897.1	Oscillatoria_acuminata
Oscillatoria_nigro-viridis_PCC_7112_WP_015178953.1	Oscillatoria_nigro-viridis
Oscillatoria_sp._PCC_10802_WP_017718367.1	Oscillatoria_sp._PCC_10802
Oscillatoriales_cyanobacterium_JSC-12_WP_036616920.1	Oscillatoriales_cyanobacterium_JSC-12
Ostreococcus_lucimarinus_CCE9901_XP_001418894.1	Ostreococcus_lucimarinus_CCE9901
Ostreococcus_tauri_CAL54437.1	Ostreococcus_tauri
Paulinella_chromatophora_YP_002049520.1	Paulinella_chromatophora
Pavlova_gyrans_CCMP608_CAMPEP_0206047490	Pavlova_gyrans
Pavlova_lutheri_RCC1537_CAMPEP_0205968056	Pavlova_lutheri_1
Pavlova_lutheri_RCC1537_CAMPEP_0205975430	Pavlova_lutheri_2
Pavlova_sp._CCMP459_CAMPEP_0185186924	Pavlova_sp._CCMP459_1
Pavlova_sp._CCMP459_CAMPEP_0185191794	Pavlova_sp._CCMP459_2
Pelagococcus_subviridis_CCMP1429_CAMPEP_0195673166	Pelagococcus_subviridis_1
Pelagococcus_subviridis_CCMP1429_CAMPEP_0195706462	Pelagococcus_subviridis_2
Pelagomonas_calceolata_RCC969_CAMPEP_0119233572	Pelagomonas_calceolata_1
Pelagomonas_calceolata_RCC969_CAMPEP_0119234810	Pelagomonas_calceolata_2
Phaeocystis_antarctica_CCMP1374_CAMPEP_0198172556	Phaeocystis_antarctica_3
Phaeocystis_antarctica_CCMP1374_CAMPEP_0198172708	Phaeocystis_antarctica_2
Phaeocystis_antarctica_CCMP1374_CAMPEP_0198174246	Phaeocystis_antarctica_1
Phaeocystis_sp._CCMP2710_CAMPEP_0118813058	Phaeocystis_sp._CCMP2710_2
Phaeocystis_sp._CCMP2710_CAMPEP_0118818280	Phaeocystis_sp._CCMP2710_1
Phaeodactylum_tricornutum_CCAP_1055_XP_002179689.1	Phaeodactylum_tricornutum_1
Phaeodactylum_tricornutum_CCAP_1055	Phaeodactylum_tricornutum_2
Phaeomonas_parva_CCMP2877_CAMPEP_0118859220	Phaeomonas_parva
Phaseolus_vulgaris_AGV54253.1	Phaseolus_vulgaris
Phoenix_dactylifera_XP_008809390.1	Phoenix_dactylifera
Physcomitrella_patens_subsp._patens_BAC87879	Physcomitrella_patens_subsp._patens
Picea_sitchensis_ABR17723.1	Picea_sitchensis
Picochlorum_oklahomense-Picochlorum_oklahomensis_CCMP2329_CAMPEP_0118805738	Picochlorum_oklahomensis
Picocystis_salinarum_CAMPEP_0113925988	Picocystis_salinarum
Pinguiococcus_pyrenoidosus_AJA04987.1	Pinguiococcus_pyrenoidosus_CCMP1144
Pinguiococcus_pyrenoidosus_CCMP2078_CAMPEP_0197384796	Pinguiococcus_pyrenoidosus_CCMP2078
Pinus_mugo_AAC60560	Pinus_mugo
Pisum_sativum_Q01289	Pisum_sativum
Planktothrix_agardhii_NIVA-CYA_126	Planktothrix_agardhii_NIVA-CYA_126
Pleurocapsa_minor_WP_015143670.1	Pleurocapsa_minor
Pleurocapsa_sp._PCC_7319_WP_019505447.1	Pleurocapsa_sp._PCC_7319
Pleurochrysis_carterae_CCMP645_CAMPEP_0169941166	Pleurochrysis_carterae_1
Pleurochrysis_carterae_CCMP645_CAMPEP_0169949400	Pleurochrysis_carterae_2
Populus_euphratica_XP_011013675.1	Populus_euphratica_2
Populus_euphratica_XP_011015404.1	Populus_euphratica_1
Populus_trichocarpa_XP_002317511.1	Populus_trichocarpa_2
Populus_trichocarpa_XP_002319908.1	Populus_trichocarpa_1
Porphyridium_purpureum_contig2039.8	Porphyridium_purpureum
Prasinoderma_singularis_RCC927_CAMPEP_0119167294	Prasinoderma_singularis
Prochlorococcus_marinus_str._NATL1A_WP_011823416	Prochlorococcus_marinus_str._NATL1A
Prochlorococcus_marinus_str._NATL2A_WP_011293608	Prochlorococcus_marinus_str._NATL2A
Prochlorococcus_marinus_subsp._marinus_str._CCMP1375_NP_875183	Prochlorococcus_marinus_subsp._marinus_str._CCMP1375
Prochlorothrix_hollandica_PCC_9006_WP_017712458.1	Prochlorothrix_hollandica
Proteomonas_sulcata_CCMP704_CAMPEP_0184291588	Proteomonas_sulcata
Protoceratium_reticulatum_CCCM_535__=CCMP_1889__CAMPEP_0168370556	Protoceratium_reticulatum_3
